team_name_home,team_score_home,team_name_away,team_score_away,possession_%_home,possession_%_away,total_shots_home,total_shots_away,on_target_home,on_target_away,off_target_home,off_target_away,blocked_home,blocked_away,passing_%_home,passing_%_away,attacking_3rd_%_home,attacking_3rd_%_away,key_passes_home,key_passes_away,clear-cut_chances_home,clear-cut_chances_away,crosses_%_home,crosses_%_away,dribbles_%_home,dribbles_%_away,corners_home,corners_away,offsides_home,offsides_away,recoveries_home,recoveries_away,tackles_%_home,tackles_%_away,interceptions_home,interceptions_away,blocks_home,blocks_away,clearances_home,clearances_away,headed_clearances_home,headed_clearances_away,aerial_duels_%_home,aerial_duels_%_away,blocked_crosses_home,blocked_crosses_away,saves_home,saves_away,catches_%_home,catches_%_away,fouls_committed_home,fouls_committed_away,fouls_won_home,fouls_won_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,match_result
Liverpool,1,Sevilla,3,51.2,48.8,13,11,5,4,3,4,5,3,76.0,70.1,64.5,59.1,12,8,0,3,40.0,10.5,44.4,73.3,4,7,1,2,51,58,78.9,68.8,17,13,3,5,30,11,21,7,53.2,46.8,3,3,1,3,100.0,0.0,19,10,10,19,4,4,0,0,2
Liverpool,3,Villarreal,0,59.5,40.5,25,6,12,2,6,2,7,2,84.5,74.7,75.5,65.0,21,6,5,0,13.8,36.4,66.7,33.3,11,3,3,1,63,57,91.3,63.2,18,14,2,6,13,17,3,7,53.1,46.9,2,4,2,10,100.0,60.0,11,7,7,11,1,2,0,1,1
Sevilla,3,Shakhtar Donetsk,1,43.5,56.5,12,10,4,2,4,5,4,3,75.6,84.7,58.9,74.2,10,8,1,2,21.4,16.7,77.8,53.3,3,7,0,3,42,46,70.8,85.7,17,23,3,4,11,19,6,10,68.0,32.0,2,3,1,1,0.0,0.0,19,14,14,19,2,7,0,0,1
Shakhtar Donetsk,2,Sevilla,2,45.1,54.9,13,9,4,5,5,2,4,2,78.9,79.9,62.9,59.7,8,6,2,1,11.8,0.0,45.0,58.8,8,5,1,2,58,52,69.2,88.2,14,22,3,4,13,19,4,13,52.2,47.8,2,2,2,2,100.0,100.0,11,17,17,10,2,3,0,0,0
Villarreal,1,Liverpool,0,45.9,54.1,9,15,3,3,4,8,2,4,79.9,84.4,57.8,81.1,8,9,1,0,19.0,12.5,51.5,63.6,7,3,0,4,65,67,50.0,91.3,15,25,4,2,17,14,11,7,48.6,51.4,4,3,3,2,100.0,100.0,7,7,7,7,1,0,0,0,1
Liverpool,4,Borussia Dortmund,3,58.3,41.7,21,12,4,6,10,4,7,2,81.5,78.5,69.0,65.5,19,9,3,3,31.0,10.0,73.9,68.4,11,2,1,2,59,47,85.0,68.0,9,13,2,7,10,33,4,14,52.6,47.4,3,4,3,0,100.0,0.0,12,17,17,11,1,3,0,0,1
Sevilla,1,Athletic Bilbao,2,42.0,58.0,14,18,7,7,6,7,1,4,70.7,78.5,55.4,71.6,8,11,1,3,25.0,14.7,52.9,54.5,9,10,6,5,55,59,82.4,77.8,37,21,5,2,23,27,16,15,48.0,52.0,2,3,4,5,50.0,0.0,16,21,20,14,4,8,0,0,2
Shakhtar Donetsk,4,Braga,0,53.3,46.7,9,7,4,2,3,3,2,2,84.3,81.1,73.8,63.7,6,5,3,0,13.3,18.8,46.7,52.2,5,6,2,0,53,51,70.0,62.5,19,14,2,2,10,13,7,8,41.2,58.8,1,4,2,1,0.0,0.0,11,13,13,11,0,3,0,0,1
Sparta Prague,2,Villarreal,4,58.8,41.2,19,10,7,4,9,6,3,0,84.7,75.0,75.8,49.4,16,7,1,2,29.2,41.7,47.8,73.3,6,4,2,0,60,50,63.6,85.7,20,18,0,3,9,11,5,7,57.7,42.3,0,6,1,5,0.0,100.0,17,4,4,16,6,2,0,0,2
Athletic Bilbao,1,Sevilla,2,54.7,45.3,13,12,3,5,4,5,6,2,71.8,67.4,59.4,55.5,8,11,2,3,12.1,22.2,50.0,35.3,6,5,4,6,63,71,56.0,76.2,17,22,2,6,8,28,2,18,31.1,68.9,1,3,3,2,100.0,100.0,12,9,8,10,2,3,0,0,2
Borussia Dortmund,1,Liverpool,1,63.6,36.4,16,13,7,6,2,3,7,4,84.8,73.1,70.7,59.0,8,9,1,2,16.7,25.0,53.8,65.0,5,1,1,4,55,68,75.0,92.3,15,14,4,8,19,20,10,6,48.1,51.9,1,2,5,5,100.0,100.0,13,14,14,13,3,2,0,0,0
