team_name_home,team_score_home,team_name_away,team_score_away,possession_%_home,possession_%_away,total_shots_home,total_shots_away,on_target_home,on_target_away,off_target_home,off_target_away,blocked_home,blocked_away,passing_%_home,passing_%_away,attacking_3rd_%_home,attacking_3rd_%_away,key_passes_home,key_passes_away,clear-cut_chances_home,clear-cut_chances_away,crosses_%_home,crosses_%_away,dribbles_%_home,dribbles_%_away,corners_home,corners_away,offsides_home,offsides_away,recoveries_home,recoveries_away,tackles_%_home,tackles_%_away,interceptions_home,interceptions_away,blocks_home,blocks_away,clearances_home,clearances_away,headed_clearances_home,headed_clearances_away,aerial_duels_%_home,aerial_duels_%_away,blocked_crosses_home,blocked_crosses_away,saves_home,saves_away,catches_%_home,catches_%_away,fouls_committed_home,fouls_committed_away,fouls_won_home,fouls_won_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,match_result
Espanyol,1,Sevilla,1,51.7,48.3,0,0,5,6,3,8,0,0,80.9,79.9,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,8,7,1,5,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,14,16,16,14,4,2,0,0,0
Getafe,0,Real Zaragoza,2,35.8,64.2,0,0,0,4,1,7,0,0,63.1,83.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,1,8,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,22,18,16,21,2,4,3,1,2
Levante,3,Athletic Bilbao,0,30.2,69.8,0,0,4,5,6,3,0,0,66.1,86.7,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,4,6,3,7,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,3,8,7,3,1,1,0,0,1
Racing Santander,2,Osasuna,4,38.6,61.4,0,0,2,12,3,8,0,0,72.2,80.6,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,1,3,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,11,9,9,11,0,2,0,0,2
Rayo Vallecano,1,Granada,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1
Real Madrid,4,Real Mallorca,1,65.9,34.1,0,0,12,5,4,4,0,0,87.6,80.7,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,8,6,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,7,16,16,4,0,1,0,0,1
Villarreal,0,Atletico Madrid,1,47.9,52.1,0,0,1,4,7,4,0,0,78.7,82.4,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,6,4,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,9,18,15,9,2,2,0,0,2
Real Sociedad,1,Valencia,0,34.2,65.8,0,0,6,2,6,10,0,0,77.4,85.2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,7,14,4,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,14,10,10,12,2,0,0,0,1
Real Betis,2,Barcelona,2,39.6,60.4,0,0,3,6,0,3,0,0,84.7,89.2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,0,4,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,15,11,11,15,2,0,0,1,0
Athletic Bilbao,0,Getafe,0,66.7,33.3,0,0,1,1,14,8,0,0,83.4,73.6,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,8,2,2,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,11,10,8,11,1,3,0,0,0
