team_name_home,team_score_home,team_name_away,team_score_away,possession_%_home,possession_%_away,total_shots_home,total_shots_away,on_target_home,on_target_away,off_target_home,off_target_away,blocked_home,blocked_away,passing_%_home,passing_%_away,attacking_3rd_%_home,attacking_3rd_%_away,key_passes_home,key_passes_away,clear-cut_chances_home,clear-cut_chances_away,crosses_%_home,crosses_%_away,dribbles_%_home,dribbles_%_away,corners_home,corners_away,offsides_home,offsides_away,recoveries_home,recoveries_away,tackles_%_home,tackles_%_away,interceptions_home,interceptions_away,blocks_home,blocks_away,clearances_home,clearances_away,headed_clearances_home,headed_clearances_away,aerial_duels_%_home,aerial_duels_%_away,blocked_crosses_home,blocked_crosses_away,saves_home,saves_away,catches_%_home,catches_%_away,fouls_committed_home,fouls_committed_away,fouls_won_home,fouls_won_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,match_result
Rotherham United,2,Shrewsbury Town,1,47.6,52.4,21,7,7,2,9,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,1,5,0,0,15,19,17,15,0,3,0,0,1
Rotherham United,2,Scunthorpe United,0,43.9,56.1,19,14,6,6,6,2,7,6,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,5,4,0,0,15,11,10,15,1,1,0,1,1
Shrewsbury Town,1,Charlton Athletic,0,43.8,56.2,9,16,5,3,3,4,1,9,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,3,4,0,0,23,8,7,21,2,1,0,0,1
Scunthorpe United,2,Rotherham United,2,53.1,46.9,18,13,5,3,6,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,1,5,0,0,14,22,21,14,1,3,0,0,0
Charlton Athletic,0,Shrewsbury Town,1,53.0,47.0,12,9,3,4,6,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3,3,0,0,9,12,12,9,0,2,0,0,2
AFC Wimbledon,2,Bury,2,61.0,39.0,8,11,4,5,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,3,2,0,0,11,3,3,11,1,0,0,0,0
Blackburn Rovers,2,Oxford United,1,58.0,42.0,14,14,8,3,5,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,2,6,0,0,8,14,14,6,0,2,0,0,1
Doncaster Rovers,0,Wigan Athletic,1,56.0,44.0,2,10,0,7,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,6,0,0,0,7,13,13,7,0,1,0,0,2
Fleetwood Town,2,Walsall,0,58.0,42.0,12,9,5,3,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3,3,0,0,8,8,7,7,0,2,0,0,1
Gillingham,5,Plymouth Argyle,2,47.0,53.0,13,8,7,4,5,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,2,0,0,15,8,8,14,2,1,0,0,1
Northampton Town,2,Oldham Athletic,2,49.0,51.0,7,9,4,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,8,18,18,8,1,1,0,0,0
Portsmouth,2,Peterborough United,0,57.0,43.0,13,8,5,2,6,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,5,6,0,0,16,9,8,16,1,0,0,0,1
Rochdale,1,Charlton Athletic,0,54.0,46.0,12,13,5,2,6,4,1,7,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,2,4,0,0,14,11,11,14,1,0,0,0,1
Rotherham United,1,Blackpool,0,51.0,49.0,15,13,3,4,9,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,4,2,0,0,7,10,10,7,1,0,0,0,1
Scunthorpe United,1,Bradford City,1,49.0,51.0,10,16,4,5,4,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,4,3,0,0,11,19,18,11,0,0,0,0,0
Shrewsbury Town,0,Milton Keynes Dons,1,54.0,46.0,8,6,1,3,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,1,0,0,15,14,14,14,1,2,0,0,2
Southend United,0,Bristol Rovers,0,57.0,43.0,19,6,5,2,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,5,0,0,14,9,9,14,2,1,0,1,0
Bradford City,1,Walsall,1,58.0,42.0,14,5,4,3,3,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,2,3,0,0,8,11,11,8,2,1,0,0,0
Doncaster Rovers,0,AFC Wimbledon,0,59.0,41.0,6,7,3,2,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,5,0,0,6,13,13,6,1,1,0,0,0
Scunthorpe United,2,Plymouth Argyle,0,41.0,59.0,11,11,6,1,2,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1,4,0,0,17,8,8,17,1,0,0,0,1
Blackpool,1,Shrewsbury Town,1,62.0,38.0,18,6,6,3,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,5,0,0,3,12,12,3,0,0,0,0,0
Bradford City,0,Southend United,2,51.0,49.0,15,12,4,5,7,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,3,4,0,0,6,9,8,6,0,0,0,0,2
Bristol Rovers,1,Gillingham,1,58.0,42.0,10,11,3,4,5,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,2,0,0,11,10,10,10,2,1,0,0,0
Bury,1,Portsmouth,0,53.0,47.0,10,15,1,3,6,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,2,0,0,0,9,9,8,9,1,2,0,0,1
Charlton Athletic,1,Blackburn Rovers,0,55.0,45.0,1,6,1,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,9,19,18,9,2,4,0,0,1
