team_name_home,team_score_home,team_name_away,team_score_away,possession_%_home,possession_%_away,total_shots_home,total_shots_away,on_target_home,on_target_away,off_target_home,off_target_away,blocked_home,blocked_away,passing_%_home,passing_%_away,attacking_3rd_%_home,attacking_3rd_%_away,key_passes_home,key_passes_away,clear-cut_chances_home,clear-cut_chances_away,crosses_%_home,crosses_%_away,dribbles_%_home,dribbles_%_away,corners_home,corners_away,offsides_home,offsides_away,recoveries_home,recoveries_away,tackles_%_home,tackles_%_away,interceptions_home,interceptions_away,blocks_home,blocks_away,clearances_home,clearances_away,headed_clearances_home,headed_clearances_away,aerial_duels_%_home,aerial_duels_%_away,blocked_crosses_home,blocked_crosses_away,saves_home,saves_away,catches_%_home,catches_%_away,fouls_committed_home,fouls_committed_away,fouls_won_home,fouls_won_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,match_result
St Mirren,1,Dundee United,1,60,40,19,8,6,4,9,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,3,5,0,0,13,19,19,12,3,3,1,0,0
Dundee United,0,St Mirren,0,42,58,9,4,4,2,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,3,3,0,0,18,18,18,17,1,1,0,0,0
Celtic,2,Hearts,1,58,42,16,4,7,3,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,5,0,0,11,9,9,11,1,1,0,0,1
Hibernian,1,Aberdeen,2,51,49,15,14,8,7,7,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,7,0,0,18,14,14,17,4,1,0,0,2
Kilmarnock,2,Rangers,1,36,64,9,7,4,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,12,14,14,10,1,3,0,0,1
Dundee,2,St Mirren,3,45,55,4,12,3,6,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,3,1,0,0,13,11,11,12,2,2,1,0,2
Hamilton Academical,2,St Johnstone,0,50,50,13,7,6,0,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4,0,0,12,9,9,12,3,1,0,0,1
Motherwell,3,Livingston,2,53,47,14,19,6,8,4,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,6,3,0,0,10,12,12,10,0,0,0,0,1
Dundee United,3,Inverness CT,0,50,50,12,13,7,5,4,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,5,4,0,0,11,10,7,11,3,2,0,0,1
Inverness CT,0,Dundee United,1,46,54,8,14,2,6,3,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,2,0,0,14,15,15,14,2,1,1,0,2
